"","agegroup","covid_numbers","policies_UK","rp_mean_norm","dospert_beta","objectiverisk_totalscore","numeracy_total","numeracy3","risktaking_mean","rp_individual_mean","rp_other_mean","risktaking_enforced","risktaking_recommendations"
"236","older",3,3,0.5,0.067172264355363,7,10,0,1.77777777777778,0.416666666666667,0.458333333333333,1,2.16666666666667
"237","older",2,3,0.763888888888889,0,3,9,0,1.44444444444444,0.708333333333333,0.583333333333333,1,1.66666666666667
"238","older",7,5,0.291666666666667,0.0000000000000000776994260291728,2,9,0,2,0.0833333333333333,0.458333333333333,1.75,2.16666666666667
"239","older",1,3,0.777777777777778,-0.625,2,10,1,1.66666666666667,0.5,0.916666666666667,1,2
"240","older",3,3,0.694444444444444,-0.184,3,11,1,2.33333333333333,0.5,0.75,1.33333333333333,2.83333333333333
"241","older",3,6,0.611111111111111,-1.61849710982659,5,11,1,2.33333333333333,0.5,0.833333333333333,1.5,3
"242","older",1,3,0.527777777777778,0.0000000000000000776994260291729,2,11,1,1.77777777777778,0.375,0.375,1,2.16666666666667
"243","older",4,7,0.375,1.66666666666667,2,10,1,2.7,0.291666666666667,0.541666666666667,3,2.5
"244","older",7,6,0.861111111111111,-1.25,5,6,0,2,0.666666666666667,0.916666666666667,1.5,2.33333333333333
"245","older",3,6,0.722222222222222,-0.584415584415584,4,10,1,2,0.625,0.708333333333333,1,2.6
"246","older",7,4,0.166666666666667,0.333333333333333,3,11,1,4.11111111111111,0,0.125,3.5,4.6
"247","older",3,5,0.638888888888889,0.181818181818182,8,11,1,1.9,0.291666666666667,0.708333333333333,1.5,2.16666666666667
"248","older",6,7,0.708333333333333,-0.5,2,11,1,2.11111111111111,0.5,0.625,1.33333333333333,2.5
"249","older",3,3,0.638888888888889,-0.749999999999999,4,11,1,1.5,0.375,0.625,1,1.66666666666667
"250","older",6,7,0.291666666666667,-0.365853658536585,3,10,1,3.22222222222222,0.208333333333333,0.208333333333333,2.33333333333333,3.66666666666667
"251","older",3,6,0.694444444444444,-1.11,5,10,1,2,0.5,0.75,1.33333333333333,2.33333333333333
"252","older",3,3,0.402777777777778,-0.401639344262294,4,9,0,1.8,0.291666666666667,0.375,1.25,2.16666666666667
"253","older",3,7,0.0833333333333333,-0.2,4,8,0,2.28571428571429,0,0,1,2.8
"254","older",2,7,0.75,NA,2,10,0,1.5,0.5,0.75,1.25,1.66666666666667
"255","older",3,5,0.819444444444444,-0.847826086956524,3,11,1,2.66666666666667,0.708333333333333,0.833333333333333,2.66666666666667,2.66666666666667
"256","older",1,3,0.763888888888889,-0.000000000000000993013661298909,8,9,1,1.22222222222222,0.625,0.75,1,1.33333333333333
"257","older",4,2,0.736111111111111,-0.477272727272727,3,9,1,1.8,0.625,0.833333333333333,1.5,2
"258","older",2,3,0.472222222222222,0.000000000000000181298660734736,2,10,0,1.55555555555556,0.208333333333333,0.75,1.33333333333333,1.66666666666667
"259","older",3,6,0.916666666666667,0.000000000000000108779196440844,3,9,0,1.42857142857143,0.833333333333333,0.916666666666667,1,1.5
"260","older",6,4,0.291666666666667,-0.276923076923077,5,11,1,1.75,0.0833333333333333,0.333333333333333,1.33333333333333,2
"261","older",2,6,0.75,-0.428571428571428,2,8,0,1.22222222222222,0.5,0.75,1,1.33333333333333
"262","older",2,5,0.722222222222222,-0.0235294117647059,5,9,0,1.22222222222222,0.5,0.75,1.25,1.2
"263","older",7,4,0.291666666666667,-0.391304347826086,4,8,1,2.44444444444444,0.0833333333333333,0.208333333333333,1.33333333333333,3
"264","older",4,2,0.694444444444444,-0.499999999999999,5,9,1,1.33333333333333,0.5,0.75,1,1.5
"265","older",5,5,0.361111111111111,-0.769230769230771,3,7,0,2.11111111111111,0.208333333333333,0.333333333333333,1.33333333333333,2.5
"266","older",6,7,0.5,0.0000000000000000754141487930203,9,10,1,2.22222222222222,0.291666666666667,0.541666666666667,1,2.83333333333333
"267","older",3,3,0.777777777777778,0.000000000000000194289029309403,2,5,0,1.33333333333333,0.5,0.916666666666667,1,1.4
"268","older",1,2,0.819444444444444,0.000000000000000275309304041024,5,7,0,1.2,0.708333333333333,0.833333333333333,1.25,1.16666666666667
